Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-19.050,1, 0.1676944,0.042537,819933, SelfUp,
12-21-2022-22-27-19.150,1, 0.0675279,0.042537,819933, SelfUp,
12-21-2022-22-27-19.150,1, 0.0781964,0.034039,45990, SelfDown,
12-21-2022-22-27-19.251,1, 0.0378313,0.038617,821929, SelfUp,
12-21-2022-22-27-19.251,1, 0.0773407,0.037235,33511, SelfDown,
12-21-2022-22-27-19.355,1, 0.0326053,0.037079,823816, SelfUp,
12-21-2022-22-27-19.355,1, 0.0926176,0.036012,33530, SelfDown,
12-21-2022-22-27-19.455,1, 0.0789817,0.037659,824327, SelfUp,
12-21-2022-22-27-19.455,1, 0.1225068,0.035784,33964, SelfDown,
12-21-2022-22-27-19.559,1, 0.0370626,0.038253,825469, SelfUp,
12-21-2022-22-27-19.659,1, 0.0387859,0.039152,828430, SelfUp,
12-21-2022-22-27-19.559,1, 0.1654679,0.035802,37197, SelfDown,
12-21-2022-22-27-19.659,1, 0.1006234,0.035574,38182, SelfDown,
12-21-2022-22-27-19.759,1, 0.1416299,0.036364,40713, SelfDown,
12-21-2022-22-27-19.860,1, 0.1169381,0.036561,41587, SelfDown,
12-21-2022-22-27-19.963,1, 0.1602101,0.037207,44823, SelfDown,
12-21-2022-22-27-19.759,1, 0.4137258,0.038561,832278, SelfUp,
12-21-2022-22-27-19.860,1, 0.3132345,0.038561,832278, SelfUp,
12-21-2022-22-27-20.063,1, 0.1787915,0.036861,46807, SelfDown,
12-21-2022-22-27-19.963,1, 0.2799526,0.03747,834149, SelfUp,
12-21-2022-22-27-20.063,1, 0.1797914,0.03747,834149, SelfUp,
12-21-2022-22-27-20.163,1, 0.0797123,0.03747,834149, SelfUp,
12-21-2022-22-27-20.163,1, 0.1156605,0.036277,48451, SelfDown,
12-21-2022-22-27-20.267,1, 0.0766585,0.037854,834427, SelfUp,
12-21-2022-22-27-20.267,1, 0.1319434,0.036738,50031, SelfDown,
12-21-2022-22-27-20.371,1, 0.0382839,0.040205,836148, SelfUp,
12-21-2022-22-27-20.481,1, 0.0866134,0.041455,839631, SelfUp,
12-21-2022-22-27-20.371,1, 0.2364877,0.038235,52113, SelfDown,
12-21-2022-22-27-20.481,1, 0.1280542,0.038235,52113, SelfDown,
12-21-2022-22-27-20.584,1, 0.0510823,0.042559,840547, SelfUp,
12-21-2022-22-27-20.684,1, 0.0749797,0.041039,842706, SelfUp,
12-21-2022-22-27-20.584,1, 0.184206,0.038983,38739, SelfDown,
12-21-2022-22-27-20.684,1, 0.1166657,0.038983,38739, SelfDown,
12-21-2022-22-27-20.787,1, 0.0350718,0.038754,844301, SelfUp,
12-21-2022-22-27-20.787,1, 0.1319889,0.038885,39664, SelfDown,
12-21-2022-22-27-20.887,1, 0.0350643,0.03857,849418, SelfUp,
12-21-2022-22-27-20.887,1, 0.1138616,0.038565,40310, SelfDown,
12-21-2022-22-27-20.987,1, 0.0712372,0.038493,851359, SelfUp,
12-21-2022-22-27-20.987,1, 0.1187214,0.037475,40686, SelfDown,
12-21-2022-22-27-21.088,1, 0.0404843,0.038403,854011, SelfUp,
12-21-2022-22-27-21.189,1, 0.0882646,0.035731,861261, SelfUp,
12-21-2022-22-27-21.088,1, 0.1944597,0.035558,47753, SelfDown,
12-21-2022-22-27-21.189,1, 0.1090155,0.035558,47753, SelfDown,
12-21-2022-22-27-21.289,1, 0.0399842,0.037539,862926, SelfUp,
12-21-2022-22-27-21.289,1, 0.124692,0.037147,49618, SelfDown,
12-21-2022-22-27-21.390,1, 0.0357218,0.037246,864270, SelfUp,
12-21-2022-22-27-21.390,1, 0.0950975,0.034263,52306, SelfDown,
12-21-2022-22-27-21.490,1, 0.0655052,0.036956,865291, SelfUp,
12-21-2022-22-27-21.490,1, 0.1636202,0.033985,55813, SelfDown,
12-21-2022-22-27-21.597,1, 0.065047,0.035459,867383, SelfUp,
12-21-2022-22-27-21.597,1, 0.1541946,0.035576,57731, SelfDown,
12-21-2022-22-27-21.698,1, 0.0693774,0.036584,870210, SelfUp,
12-21-2022-22-27-21.798,1, 0.0307057,0.036038,871637, SelfUp,
12-21-2022-22-27-21.698,1, 0.1592189,0.034626,60137, SelfDown,
12-21-2022-22-27-21.798,1, 0.0606257,0.034626,60137, SelfDown,
12-21-2022-22-27-21.898,1, 0.0295627,0.031898,878334, SelfUp,
12-21-2022-22-27-21.898,1, 0.0764188,0.037515,42734, SelfDown,
12-21-2022-22-27-21.998,1, 0.0350839,0.031276,885949, SelfUp,
12-21-2022-22-27-21.998,1, 0.0513678,0.033342,44060, SelfDown,
12-21-2022-22-27-22.099,1, 0.0393023,0.038613,889719, SelfUp,
12-21-2022-22-27-22.099,1, 0.0553259,0.039601,45556, SelfDown,
12-21-2022-22-27-22.199,1, 0.0430421,0.045647,893139, SelfUp,
12-21-2022-22-27-22.199,1, 0.1243487,0.043346,46858, SelfDown,
12-21-2022-22-27-22.300,1, 0.0706751,0.041163,895190, SelfUp,
12-21-2022-22-27-22.402,1, 0.0362178,0.038953,897269, SelfUp,
12-21-2022-22-27-22.300,1, 0.1466855,0.038198,51562, SelfDown,
12-21-2022-22-27-22.503,1, 0.0416813,0.038577,903777, SelfUp,
12-21-2022-22-27-22.402,1, 0.211743,0.039234,54082, SelfDown,
12-21-2022-22-27-22.503,1, 0.1111602,0.039234,54082, SelfDown,
12-21-2022-22-27-22.603,1, 0.0376692,0.039979,906490, SelfUp,
12-21-2022-22-27-22.603,1, 0.1646303,0.038264,57583, SelfDown,
12-21-2022-22-27-22.706,1, 0.1124551,0.04021,912210, SelfUp,
12-21-2022-22-27-22.706,1, 0.1266418,0.03996,58589, SelfDown,
12-21-2022-22-27-22.806,1, 0.0539417,0.041861,912549, SelfUp,
12-21-2022-22-27-22.906,1, 0.0388271,0.043873,915248, SelfUp,
12-21-2022-22-27-22.806,1, 0.2188564,0.041478,61225, SelfDown,
12-21-2022-22-27-22.906,1, 0.1197046,0.041478,61225, SelfDown,
12-21-2022-22-27-23.008,1, 0.0400773,0.041673,918273, SelfUp,
12-21-2022-22-27-23.108,1, 0.0442858,0.042156,921955, SelfUp,
12-21-2022-22-27-23.008,1, 0.1938988,0.03736,65772, SelfDown,
12-21-2022-22-27-23.108,1, 0.1442405,0.039631,67619, SelfDown,
12-21-2022-22-27-23.209,1, 0.0909779,0.040964,926270, SelfUp,
12-21-2022-22-27-23.312,1, 0.0409801,0.041008,927924, SelfUp,
12-21-2022-22-27-23.209,1, 0.2472983,0.040131,69568, SelfDown,
12-21-2022-22-27-23.312,1, 0.1447832,0.040131,69568, SelfDown,
12-21-2022-22-27-23.412,1, 0.0463685,0.038505,932180, SelfUp,
12-21-2022-22-27-23.517,1, 0.0451554,0.040077,934125, SelfUp,
12-21-2022-22-27-23.412,1, 0.1729241,0.041507,70779, SelfDown,
12-21-2022-22-27-23.517,1, 0.1167674,0.042489,71276, SelfDown,
12-21-2022-22-27-23.618,1, 0.0812328,0.04059,935428, SelfUp,
12-21-2022-22-27-23.618,1, 0.0944114,0.042677,72091, SelfDown,
12-21-2022-22-27-23.718,1, 0.0931123,0.040065,938365, SelfUp,
12-21-2022-22-27-23.820,1, 0.0474456,0.040807,939989, SelfUp,
12-21-2022-22-27-23.718,1, 0.158657,0.039945,78026, SelfDown,
12-21-2022-22-27-23.820,1, 0.095465,0.038832,79895, SelfDown,
12-21-2022-22-27-23.921,1, 0.0345582,0.037805,942889, SelfUp,
12-21-2022-22-27-23.921,1, 0.0477708,0.035218,84217, SelfDown,
12-21-2022-22-27-24.025,1, 0.0337767,0.03596,946703, SelfUp,
12-21-2022-22-27-24.126,1, 0.0513693,0.04,948911, SelfUp,
12-21-2022-22-27-24.025,1, 0.1587341,0.037019,85871, SelfDown,
12-21-2022-22-27-24.126,1, 0.1773779,0.036484,89052, SelfDown,
12-21-2022-22-27-24.227,1, 0.184427,0.036506,91195, SelfDown,
12-21-2022-22-27-24.331,1, 0.1201084,0.03743,92881, SelfDown,
12-21-2022-22-27-24.331,1, 0.1307579,0.046562,949231, SelfUp,
12-21-2022-22-27-24.227,1, 0.234873,0.046562,949231, SelfUp,
12-21-2022-22-27-24.432,1, 0.0653836,0.048879,949552, SelfUp,
12-21-2022-22-27-24.533,1, 0.0383958,0.03908,953672, SelfUp,
12-21-2022-22-27-24.432,1, 0.2176456,0.036501,95355, SelfDown,
12-21-2022-22-27-24.637,1, 0.0536299,0.045974,957722, SelfUp,
12-21-2022-22-27-24.533,1, 0.2105214,0.039614,66749, SelfDown,
12-21-2022-22-27-24.637,1, 0.1798899,0.037579,67060, SelfDown,
12-21-2022-22-27-24.738,1, 0.0871793,0.037579,67060, SelfDown,
12-21-2022-22-27-24.738,1, 0.0922321,0.037272,962005, SelfUp,
12-21-2022-22-27-24.839,1, 0.0471042,0.038856,963516, SelfUp,
12-21-2022-22-27-24.839,1, 0.1211154,0.043703,68980, SelfDown,
12-21-2022-22-27-24.939,1, 0.068248,0.044337,964419, SelfUp,
12-21-2022-22-27-25.040,1, 0.0644836,0.041296,966219, SelfUp,
12-21-2022-22-27-24.939,1, 0.2103484,0.039163,69623, SelfDown,
12-21-2022-22-27-25.040,1, 0.1121174,0.039163,69623, SelfDown,
12-21-2022-22-27-25.142,1, 0.0453098,0.039805,968597, SelfUp,
12-21-2022-22-27-25.142,1, 0.1384475,0.039869,48849, SelfDown,
12-21-2022-22-27-25.246,1, 0.0739396,0.04169,970655, SelfUp,
12-21-2022-22-27-25.348,1, 0.0359823,0.040406,971533, SelfUp,
12-21-2022-22-27-25.246,1, 0.1977636,0.03915,48852, SelfDown,
12-21-2022-22-27-25.348,1, 0.1258781,0.038761,48853, SelfDown,
12-21-2022-22-27-25.450,1, 0.0367839,0.037141,974144, SelfUp,
12-21-2022-22-27-25.550,1, 0.0342248,0.036397,977289, SelfUp,
12-21-2022-22-27-25.450,1, 0.2324052,0.036201,48869, SelfDown,
12-21-2022-22-27-25.550,1, 0.1332365,0.036201,48869, SelfDown,
12-21-2022-22-27-25.651,1, 0.037063,0.037311,979263, SelfUp,
12-21-2022-22-27-25.752,1, 0.0362513,0.037568,982322, SelfUp,
12-21-2022-22-27-25.651,1, 0.2141956,0.03703,51815, SelfDown,
12-21-2022-22-27-25.855,1, 0.0472571,0.043009,985330, SelfUp,
12-21-2022-22-27-25.752,1, 0.1628733,0.038602,53759, SelfDown,
12-21-2022-22-27-25.956,1, 0.0413633,0.041071,988019, SelfUp,
12-21-2022-22-27-25.855,1, 0.1896038,0.038694,37632, SelfDown,
12-21-2022-22-27-25.956,1, 0.123643,0.038883,37634, SelfDown,
12-21-2022-22-27-26.057,1, 0.0416606,0.040234,991710, SelfUp,
12-21-2022-22-27-26.057,1, 0.1223417,0.036089,37646, SelfDown,
12-21-2022-22-27-26.158,1, 0.0360704,0.036166,996079, SelfUp,
12-21-2022-22-27-26.158,1, 0.119932,0.034546,38052, SelfDown,
12-21-2022-22-27-26.260,1, 0.0358903,0.03526,998593, SelfUp,
12-21-2022-22-27-26.260,1, 0.1225068,0.034565,39817, SelfDown,
12-21-2022-22-27-26.361,1, 0.0386052,0.035424,1000821, SelfUp,
12-21-2022-22-27-26.361,1, 0.0973174,0.035931,41387, SelfDown,
12-21-2022-22-27-26.461,1, 0.0415762,0.037897,1002045, SelfUp,
12-21-2022-22-27-26.561,1, 0.053154,0.044342,1005421, SelfUp,
12-21-2022-22-27-26.461,1, 0.1983494,0.041131,43615, SelfDown,
12-21-2022-22-27-26.561,1, 0.1449032,0.03697,45818, SelfDown,
12-21-2022-22-27-26.663,1, 0.0941432,0.037434,47152, SelfDown,
12-21-2022-22-27-26.763,1, 0.0921187,0.03457,50296, SelfDown,
12-21-2022-22-27-26.663,1, 0.3162093,0.040121,1007316, SelfUp,
12-21-2022-22-27-26.863,1, 0.1210734,0.034236,53230, SelfDown,
12-21-2022-22-27-26.763,1, 0.2484957,0.038705,1007551, SelfUp,
12-21-2022-22-27-26.863,1, 0.148369,0.038705,1007551, SelfUp,
12-21-2022-22-27-26.964,1, 0.0477565,0.038705,1007551, SelfUp,
12-21-2022-22-27-26.964,1, 0.048479,0.03359,54144, SelfDown,
12-21-2022-22-27-27.064,1, 0.0499857,0.031839,58676, SelfDown,
12-21-2022-22-27-27.064,1, 0.0543546,0.036332,1010804, SelfUp,
12-21-2022-22-27-27.165,1, 0.0476495,0.039039,1011719, SelfUp,
12-21-2022-22-27-27.165,1, 0.0563554,0.038104,58693, SelfDown,
12-21-2022-22-27-27.265,1, 0.0425679,0.043774,1013532, SelfUp,
12-21-2022-22-27-27.365,1, 0.084835,0.041684,710569, SelfUp,
12-21-2022-22-27-27.466,1, 0.034549,0.038527,710574, SelfUp,
12-21-2022-22-27-27.566,1, 0.0538186,0.040676,710577, SelfUp,
12-21-2022-22-27-27.666,1, 0.0488712,0.040674,710583, SelfUp,
12-21-2022-22-27-27.766,1, 0.0394917,0.039831,497411, SelfUp,
12-21-2022-22-27-27.666,1, 0.2769433,0.044787,16030, SelfDown,
12-21-2022-22-27-27.766,1, 0.1769172,0.044787,16030, SelfDown,
12-21-2022-22-27-27.466,1, 0.5201743,0.043817,16450, SelfDown,
12-21-2022-22-27-27.365,1, 0.6196338,0.043817,16450, SelfDown,
12-21-2022-22-27-27.566,1, 0.419789,0.043817,16450, SelfDown,
12-21-2022-22-27-27.265,1, 0.7207819,0.043817,16450, SelfDown,
12-21-2022-22-27-27.866,1, 0.2629226,0.042511,17504, SelfDown,
12-21-2022-22-27-27.967,1, 0.2407505,0.041896,20411, SelfDown,
12-21-2022-22-27-28.068,1, 0.1443661,0.041896,20411, SelfDown,
12-21-2022-22-27-27.866,1, 0.3829706,0.047124,497424, SelfUp,
12-21-2022-22-27-28.169,1, 0.1140084,0.039614,25871, SelfDown,
12-21-2022-22-27-28.269,1, 0.1856345,0.037915,28763, SelfDown,
12-21-2022-22-27-28.369,1, 0.1371092,0.038948,28764, SelfDown,
12-21-2022-22-27-28.469,1, 0.1498959,0.03707,28772, SelfDown,
12-21-2022-22-27-27.967,1, 0.657702,0.047096,497428, SelfUp,
12-21-2022-22-27-28.068,1, 0.556129,0.047096,497428, SelfUp,
12-21-2022-22-27-28.169,1, 0.4552774,0.047096,497428, SelfUp,
12-21-2022-22-27-28.269,1, 0.3552372,0.047096,497428, SelfUp,
12-21-2022-22-27-28.369,1, 0.2990508,0.047096,497428, SelfUp,
12-21-2022-22-27-28.469,1, 0.1989238,0.047096,497428, SelfUp,
12-21-2022-22-27-28.570,1, 0.0984934,0.047096,497428, SelfUp,
12-21-2022-22-27-28.671,1, 0.059132,0.048554,497442, SelfUp,
12-21-2022-22-27-28.570,1, 0.1923531,0.044652,28780, SelfDown,
12-21-2022-22-27-28.771,1, 0.0463979,0.049161,497483, SelfUp,
12-21-2022-22-27-28.871,1, 0.0447526,0.04446,497674, SelfUp,
12-21-2022-22-27-28.972,1, 0.0491812,0.044909,498011, SelfUp,
12-21-2022-22-27-28.771,1, 0.2962588,0.044652,14560, SelfDown,
12-21-2022-22-27-28.871,1, 0.1959314,0.044652,14560, SelfDown,
12-21-2022-22-27-28.671,1, 0.3963069,0.044652,14560, SelfDown,
12-21-2022-22-27-28.972,1, 0.1155702,0.045439,14562, SelfDown,
12-21-2022-22-27-29.072,1, 0.0495971,0.047474,498335, SelfUp,
12-21-2022-22-27-29.172,1, 0.0518867,0.045151,498894, SelfUp,
12-21-2022-22-27-29.072,1, 0.1968809,0.043809,14567, SelfDown,
12-21-2022-22-27-29.273,1, 0.0503432,0.046832,499442, SelfUp,
12-21-2022-22-27-29.172,1, 0.1897091,0.044483,14560, SelfDown,
12-21-2022-22-27-29.273,1, 0.2630169,0.041523,14564, SelfDown,
12-21-2022-22-27-29.374,1, 0.1781263,0.041523,14564, SelfDown,
12-21-2022-22-27-29.374,1, 0.1911269,0.045174,499895, SelfUp,
12-21-2022-22-27-29.475,1, 0.0901638,0.045174,499895, SelfUp,
12-21-2022-22-27-29.475,1, 0.2025169,0.042528,15239, SelfDown,
12-21-2022-22-27-29.576,1, 0.228708,0.038885,18736, SelfDown,
12-21-2022-22-27-29.676,1, 0.280677,0.038746,21117, SelfDown,
12-21-2022-22-27-29.776,1, 0.2080086,0.038746,21117, SelfDown,
12-21-2022-22-27-29.877,1, 0.1132551,0.038746,21117, SelfDown,
12-21-2022-22-27-29.978,1, 0.131754,0.036868,24413, SelfDown,
12-21-2022-22-27-30.078,1, 0.0891023,0.037735,26382, SelfDown,
12-21-2022-22-27-30.185,1, 0.1635345,0.038373,28967, SelfDown,
12-21-2022-22-27-29.576,1, 0.8473277,0.042105,502261, SelfUp,
12-21-2022-22-27-30.285,1, 0.1616571,0.037023,31632, SelfDown,
12-21-2022-22-27-29.676,1, 0.7789653,0.042105,502261, SelfUp,
12-21-2022-22-27-29.776,1, 0.6788253,0.042105,502261, SelfUp,
12-21-2022-22-27-29.877,1, 0.5783786,0.042105,502261, SelfUp,
12-21-2022-22-27-29.978,1, 0.4778892,0.042105,502261, SelfUp,
12-21-2022-22-27-30.078,1, 0.3778449,0.042105,502261, SelfUp,
12-21-2022-22-27-30.285,1, 0.1702899,0.042105,502261, SelfUp,
12-21-2022-22-27-30.185,1, 0.2710582,0.042105,502261, SelfUp,
12-21-2022-22-27-30.387,1, 0.068278,0.042105,502261, SelfUp,
12-21-2022-22-27-30.488,1, 0.0370832,0.044467,502645, SelfUp,
12-21-2022-22-27-30.387,1, 0.1602169,0.036281,34137, SelfDown,
12-21-2022-22-27-30.488,1, 0.1224961,0.036997,35367, SelfDown,
12-21-2022-22-27-30.589,1, 0.0705644,0.04096,503618, SelfUp,
12-21-2022-22-27-30.589,1, 0.1828812,0.037498,37476, SelfDown,
12-21-2022-22-27-30.689,1, 0.1737904,0.042924,504030, SelfUp,
12-21-2022-22-27-30.793,1, 0.0702628,0.042924,504030, SelfUp,
12-21-2022-22-27-30.689,1, 0.1891298,0.035967,41293, SelfDown,
12-21-2022-22-27-30.793,1, 0.1231922,0.035129,42271, SelfDown,
12-21-2022-22-27-30.894,1, 0.043088,0.042187,505090, SelfUp,
12-21-2022-22-27-30.894,1, 0.0548923,0.036893,43044, SelfDown,
12-21-2022-22-27-30.994,1, 0.0412907,0.045239,506577, SelfUp,
12-21-2022-22-27-31.095,1, 0.0865079,0.046754,507643, SelfUp,
12-21-2022-22-27-31.195,1, 0.0429364,0.042872,508514, SelfUp,
12-21-2022-22-27-30.994,1, 0.2867149,0.039254,31111, SelfDown,
12-21-2022-22-27-31.095,1, 0.1895926,0.039254,31111, SelfDown,
12-21-2022-22-27-31.195,1, 0.1561247,0.036485,35143, SelfDown,
12-21-2022-22-27-31.295,1, 0.0928888,0.034372,512362, SelfUp,
12-21-2022-22-27-31.395,1, 0.0355955,0.035546,513418, SelfUp,
12-21-2022-22-27-31.295,1, 0.1779349,0.036406,37140, SelfDown,
12-21-2022-22-27-31.395,1, 0.0824144,0.036406,37140, SelfDown,
12-21-2022-22-27-31.496,1, 0.161577,0.039555,40323, SelfDown,
12-21-2022-22-27-31.599,1, 0.117893,0.038465,42054, SelfDown,
12-21-2022-22-27-31.700,1, 0.2067154,0.038242,44572, SelfDown,
12-21-2022-22-27-31.802,1, 0.1175215,0.038242,44572, SelfDown,
12-21-2022-22-27-31.904,1, 0.0970788,0.040814,32357, SelfDown,
12-21-2022-22-27-31.496,1, 0.5120602,0.038273,360705, SelfUp,
12-21-2022-22-27-31.599,1, 0.4086931,0.038273,360705, SelfUp,
12-21-2022-22-27-31.700,1, 0.3076833,0.038273,360705, SelfUp,
12-21-2022-22-27-31.802,1, 0.2058334,0.038273,360705, SelfUp,
12-21-2022-22-27-31.904,1, 0.1044262,0.038273,360705, SelfUp,
12-21-2022-22-27-32.004,1, 0.030237,0.037258,360706, SelfUp,
12-21-2022-22-27-32.004,1, 0.0768326,0.037836,33582, SelfDown,
12-21-2022-22-27-32.104,1, 0.0430242,0.039161,252501, SelfUp,
12-21-2022-22-27-32.104,1, 0.0961568,0.041655,16660, SelfDown,
12-21-2022-22-27-32.205,1, 0.0960871,0.041655,16660, SelfDown,
12-21-2022-22-27-32.205,1, 0.1071219,0.042223,252512, SelfUp,
12-21-2022-22-27-32.305,1, 0.0447971,0.041966,252514, SelfUp,
12-21-2022-22-27-32.305,1, 0.2215425,0.039023,17915, SelfDown,
12-21-2022-22-27-32.406,1, 0.3132313,0.039648,21824, SelfDown,
12-21-2022-22-27-32.406,1, 0.3389573,0.050545,252536, SelfUp,
12-21-2022-22-27-32.508,1, 0.2524053,0.040003,23531, SelfDown,
12-21-2022-22-27-32.508,1, 0.2723197,0.047827,252538, SelfUp,
12-21-2022-22-27-32.609,1, 0.1719518,0.047827,252538, SelfUp,
12-21-2022-22-27-32.709,1, 0.0718831,0.047827,252538, SelfUp,
12-21-2022-22-27-32.609,1, 0.2329794,0.04019,24334, SelfDown,
12-21-2022-22-27-32.709,1, 0.1846361,0.040673,25771, SelfDown,
12-21-2022-22-27-32.910,1, 0.0644916,0.052089,252616, SelfUp,
12-21-2022-22-27-32.809,1, 0.1650147,0.052089,252616, SelfUp,
12-21-2022-22-27-32.809,1, 0.2927685,0.038129,29508, SelfDown,
12-21-2022-22-27-32.910,1, 0.1922454,0.038129,29508, SelfDown,
12-21-2022-22-27-33.010,1, 0.1071536,0.038129,29508, SelfDown,
12-21-2022-22-27-33.110,1, 0.0663477,0.038861,22211, SelfDown,
12-21-2022-22-27-33.210,1, 0.2371482,0.040693,26709, SelfDown,
12-21-2022-22-27-33.312,1, 0.1503934,0.040693,26709, SelfDown,
12-21-2022-22-27-33.413,1, 0.1395961,0.038324,28920, SelfDown,
12-21-2022-22-27-33.514,1, 0.2224279,0.037713,32807, SelfDown,
12-21-2022-22-27-33.615,1, 0.1433261,0.037421,33211, SelfDown,
12-21-2022-22-27-33.010,1, 0.7908088,0.048673,253634, SelfUp,
12-21-2022-22-27-33.210,1, 0.6588896,0.040913,254708, SelfUp,
12-21-2022-22-27-33.110,1, 0.7592861,0.040913,254708, SelfUp,
12-21-2022-22-27-33.413,1, 0.4563046,0.040913,254708, SelfUp,
12-21-2022-22-27-33.514,1, 0.3556927,0.040913,254708, SelfUp,
12-21-2022-22-27-33.721,1, 0.148392,0.040913,254708, SelfUp,
12-21-2022-22-27-33.312,1, 0.5569945,0.040913,254708, SelfUp,
12-21-2022-22-27-33.615,1, 0.2544204,0.040913,254708, SelfUp,
12-21-2022-22-27-33.823,1, 0.0465804,0.040913,254708, SelfUp,
