Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-33.721,1, 0.2355926,0.037238,37114, SelfDown,
12-21-2022-22-27-33.924,1, 0.0432012,0.040124,256558, SelfUp,
12-21-2022-22-27-33.823,1, 0.1683533,0.036408,38310, SelfDown,
12-21-2022-22-27-33.924,1, 0.1161027,0.035748,39575, SelfDown,
12-21-2022-22-27-34.024,1, 0.0297441,0.031739,258970, SelfUp,
12-21-2022-22-27-34.024,1, 0.1380042,0.038922,41210, SelfDown,
12-21-2022-22-27-34.124,1, 0.0465375,0.039151,260459, SelfUp,
12-21-2022-22-27-34.225,1, 0.0378853,0.042068,262094, SelfUp,
12-21-2022-22-27-34.124,1, 0.211867,0.04189,28930, SelfDown,
12-21-2022-22-27-34.328,1, 0.0350503,0.038674,264414, SelfUp,
12-21-2022-22-27-34.225,1, 0.1668163,0.040471,29195, SelfDown,
12-21-2022-22-27-34.328,1, 0.0918237,0.040446,29340, SelfDown,
12-21-2022-22-27-34.428,1, 0.040826,0.039162,266400, SelfUp,
12-21-2022-22-27-34.529,1, 0.0374615,0.037886,267518, SelfUp,
12-21-2022-22-27-34.428,1, 0.1605207,0.037852,35360, SelfDown,
12-21-2022-22-27-34.529,1, 0.1884832,0.036391,37876, SelfDown,
12-21-2022-22-27-34.630,1, 0.1601257,0.04623,269713, SelfUp,
12-21-2022-22-27-34.730,1, 0.0598174,0.04623,269713, SelfUp,
12-21-2022-22-27-34.630,1, 0.1749716,0.037789,39647, SelfDown,
12-21-2022-22-27-34.730,1, 0.1589883,0.036902,40840, SelfDown,
12-21-2022-22-27-34.933,1, 0.0809773,0.040609,271135, SelfUp,
12-21-2022-22-27-34.831,1, 0.1830128,0.040609,271135, SelfUp,
12-21-2022-22-27-34.831,1, 0.2086797,0.036886,44015, SelfDown,
12-21-2022-22-27-35.033,1, 0.0300345,0.038396,271866, SelfUp,
12-21-2022-22-27-34.933,1, 0.1406179,0.035382,45828, SelfDown,
12-21-2022-22-27-35.033,1, 0.1516939,0.036919,46826, SelfDown,
12-21-2022-22-27-35.134,1, 0.0695474,0.038396,272015, SelfUp,
12-21-2022-22-27-35.234,1, 0.0762086,0.0422,272915, SelfUp,
12-21-2022-22-27-35.134,1, 0.1939674,0.036424,50501, SelfDown,
12-21-2022-22-27-35.234,1, 0.1253596,0.036424,50501, SelfDown,
12-21-2022-22-27-35.334,1, 0.1735326,0.03663,274105, SelfUp,
12-21-2022-22-27-35.436,1, 0.0721075,0.03663,274105, SelfUp,
12-21-2022-22-27-35.334,1, 0.2254927,0.036338,54641, SelfDown,
12-21-2022-22-27-35.436,1, 0.1335102,0.036338,54641, SelfDown,
12-21-2022-22-27-35.536,1, 0.0824777,0.03646,276550, SelfUp,
12-21-2022-22-27-35.536,1, 0.1190105,0.03594,57095, SelfDown,
12-21-2022-22-27-35.637,1, 0.0368729,0.036168,276968, SelfUp,
12-21-2022-22-27-35.637,1, 0.196214,0.03524,41087, SelfDown,
12-21-2022-22-27-35.738,1, 0.1715369,0.045482,194548, SelfUp,
12-21-2022-22-27-35.738,1, 0.2304705,0.03524,28760, SelfDown,
12-21-2022-22-27-35.838,1, 0.1561203,0.045482,136183, SelfUp,
12-21-2022-22-27-35.938,1, 0.0555651,0.045482,136183, SelfUp,
12-21-2022-22-27-35.838,1, 0.2389426,0.038595,28762, SelfDown,
12-21-2022-22-27-35.938,1, 0.1592128,0.038595,28762, SelfDown,
12-21-2022-22-27-36.042,1, 0.0930823,0.046279,95330, SelfUp,
12-21-2022-22-27-36.142,1, 0.0403346,0.044769,95333, SelfUp,
12-21-2022-22-27-36.246,1, 0.0761699,0.036392,95345, SelfUp,
12-21-2022-22-27-36.347,1, 0.0319919,0.035295,95353, SelfUp,
12-21-2022-22-27-36.448,1, 0.0345264,0.034964,95365, SelfUp,
12-21-2022-22-27-36.548,1, 0.0417412,0.036617,95374, SelfUp,
12-21-2022-22-27-36.246,1, 0.3877465,0.038809,20139, SelfDown,
12-21-2022-22-27-36.142,1, 0.4914096,0.038809,20139, SelfDown,
12-21-2022-22-27-36.448,1, 0.1861866,0.038809,20139, SelfDown,
12-21-2022-22-27-36.347,1, 0.286693,0.038809,20139, SelfDown,
12-21-2022-22-27-36.042,1, 0.6840236,0.039307,20541, SelfDown,
12-21-2022-22-27-36.548,1, 0.2177851,0.038785,22011, SelfDown,
12-21-2022-22-27-36.648,1, 0.1422171,0.037873,22491, SelfDown,
12-21-2022-22-27-36.748,1, 0.0672877,0.037725,95441, SelfUp,
12-21-2022-22-27-36.648,1, 0.1675065,0.037725,95441, SelfUp,
12-21-2022-22-27-36.748,1, 0.1679386,0.035446,25526, SelfDown,
12-21-2022-22-27-36.849,1, 0.0729198,0.035731,95801, SelfUp,
12-21-2022-22-27-36.949,1, 0.0377555,0.036521,96157, SelfUp,
12-21-2022-22-27-36.849,1, 0.1383049,0.034998,27111, SelfDown,
12-21-2022-22-27-36.949,1, 0.1856319,0.037052,28699, SelfDown,
12-21-2022-22-27-37.050,1, 0.1299704,0.03634,30611, SelfDown,
12-21-2022-22-27-37.152,1, 0.1334845,0.034068,32333, SelfDown,
12-21-2022-22-27-37.256,1, 0.0923412,0.032969,35061, SelfDown,
12-21-2022-22-27-37.458,1, 0.1809288,0.034676,26248, SelfDown,
12-21-2022-22-27-37.357,1, 0.2819719,0.034676,26248, SelfDown,
12-21-2022-22-27-37.558,1, 0.1138706,0.033897,28977, SelfDown,
12-21-2022-22-27-37.659,1, 0.1618379,0.034671,32000, SelfDown,
12-21-2022-22-27-37.050,1, 0.8177953,0.039732,68144, SelfUp,
12-21-2022-22-27-37.760,1, 0.1236786,0.03658,32797, SelfDown,
12-21-2022-22-27-37.152,1, 0.7511847,0.039732,47700, SelfUp,
12-21-2022-22-27-37.357,1, 0.5463905,0.039732,47700, SelfUp,
12-21-2022-22-27-37.256,1, 0.6471998,0.039732,47700, SelfUp,
12-21-2022-22-27-37.659,1, 0.2440863,0.039732,47700, SelfUp,
12-21-2022-22-27-37.558,1, 0.3451328,0.039732,47700, SelfUp,
12-21-2022-22-27-37.458,1, 0.4453474,0.039732,47700, SelfUp,
12-21-2022-22-27-37.760,1, 0.1428891,0.039732,47700, SelfUp,
12-21-2022-22-27-37.864,1, 0.0691045,0.039732,47700, SelfUp,
12-21-2022-22-27-37.964,1, 0.0400377,0.037312,47707, SelfUp,
12-21-2022-22-27-37.864,1, 0.2142843,0.037538,22963, SelfDown,
12-21-2022-22-27-37.964,1, 0.1532106,0.037253,22965, SelfDown,
12-21-2022-22-27-38.064,1, 0.0531787,0.037037,47716, SelfUp,
12-21-2022-22-27-38.064,1, 0.1612079,0.036455,24234, SelfDown,
12-21-2022-22-27-38.165,1, 0.1471273,0.036142,26252, SelfDown,
12-21-2022-22-27-38.266,1, 0.0678613,0.035605,47751, SelfUp,
12-21-2022-22-27-38.165,1, 0.1688549,0.035605,47751, SelfUp,
12-21-2022-22-27-38.368,1, 0.0452249,0.037529,50170, SelfUp,
12-21-2022-22-27-38.266,1, 0.2075845,0.037118,29381, SelfDown,
12-21-2022-22-27-38.368,1, 0.1194236,0.037118,29381, SelfDown,
12-21-2022-22-27-38.468,1, 0.1049286,0.039971,52216, SelfUp,
12-21-2022-22-27-38.569,1, 0.0444376,0.04052,53071, SelfUp,
12-21-2022-22-27-38.468,1, 0.1856242,0.039783,32157, SelfDown,
12-21-2022-22-27-38.569,1, 0.1057629,0.03952,32367, SelfDown,
12-21-2022-22-27-38.872,1, 0.1564375,0.037509,15862, SelfDown,
12-21-2022-22-27-38.772,1, 0.3066953,0.037608,15866, SelfDown,
12-21-2022-22-27-38.670,1, 0.4082489,0.037608,15866, SelfDown,
12-21-2022-22-27-38.972,1, 0.1687642,0.041776,15936, SelfDown,
12-21-2022-22-27-38.670,1, 0.5787237,0.040886,26538, SelfUp,
12-21-2022-22-27-38.872,1, 0.3771406,0.040886,26538, SelfUp,
12-21-2022-22-27-38.772,1, 0.4771701,0.040886,26538, SelfUp,
12-21-2022-22-27-39.174,1, 0.0741913,0.040886,26538, SelfUp,
12-21-2022-22-27-38.972,1, 0.2768128,0.040886,26538, SelfUp,
12-21-2022-22-27-39.072,1, 0.1766843,0.040886,26538, SelfUp,
12-21-2022-22-27-39.072,1, 0.2013976,0.042061,17403, SelfDown,
12-21-2022-22-27-39.174,1, 0.1468961,0.042382,19072, SelfDown,
12-21-2022-22-27-39.275,1, 0.067272,0.042899,26545, SelfUp,
12-21-2022-22-27-39.275,1, 0.2699503,0.04442,14565, SelfDown,
12-21-2022-22-27-39.375,1, 0.1744981,0.04442,14565, SelfDown,
12-21-2022-22-27-39.375,1, 0.1870795,0.046357,26554, SelfUp,
12-21-2022-22-27-39.475,1, 0.0866666,0.046357,26554, SelfUp,
12-21-2022-22-27-39.575,1, 0.0673758,0.044032,26557, SelfUp,
12-21-2022-22-27-39.475,1, 0.1714944,0.043826,15056, SelfDown,
12-21-2022-22-27-39.575,1, 0.1947997,0.04301,17552, SelfDown,
12-21-2022-22-27-39.676,1, 0.1512633,0.043845,18471, SelfDown,
12-21-2022-22-27-39.776,1, 0.27709,0.044437,14561, SelfDown,
12-21-2022-22-27-40.076,1, 0.3258375,0.045464,14563, SelfDown,
12-21-2022-22-27-40.176,1, 0.2254773,0.045464,14563, SelfDown,
12-21-2022-22-27-39.977,1, 0.4253482,0.045464,14563, SelfDown,
12-21-2022-22-27-39.876,1, 0.6096378,0.045501,14568, SelfDown,
12-21-2022-22-27-40.278,1, 0.2386281,0.044552,14569, SelfDown,
12-21-2022-22-27-40.379,1, 0.1906427,0.041312,14572, SelfDown,
12-21-2022-22-27-40.479,1, 0.2436286,0.037802,17419, SelfDown,
12-21-2022-22-27-40.581,1, 0.1763704,0.036978,18207, SelfDown,
12-21-2022-22-27-40.681,1, 0.1619232,0.03685,19832, SelfDown,
12-21-2022-22-27-40.781,1, 0.1603655,0.036501,21891, SelfDown,
12-21-2022-22-27-40.882,1, 0.1429622,0.035961,23951, SelfDown,
12-21-2022-22-27-40.982,1, 0.1419041,0.038794,25014, SelfDown,
12-21-2022-22-27-39.676,1, 1.4934717,0.04542,6919, SelfUp,
12-21-2022-22-27-39.776,1, 1.4402611,0.045508,8408, SelfUp,
12-21-2022-22-27-39.977,1, 1.2395241,0.045508,8408, SelfUp,
12-21-2022-22-27-39.876,1, 1.3401605,0.045508,8408, SelfUp,
12-21-2022-22-27-40.176,1, 1.0396532,0.045508,8408, SelfUp,
12-21-2022-22-27-40.278,1, 0.9379583,0.045508,8408, SelfUp,
12-21-2022-22-27-40.076,1, 1.1400134,0.045508,8408, SelfUp,
12-21-2022-22-27-40.479,1, 0.7370597,0.045508,8408, SelfUp,
12-21-2022-22-27-40.581,1, 0.6352227,0.045508,8408, SelfUp,
12-21-2022-22-27-40.379,1, 0.8373529,0.045508,8408, SelfUp,
12-21-2022-22-27-40.681,1, 0.5351773,0.045508,8408, SelfUp,
12-21-2022-22-27-40.781,1, 0.4350637,0.045508,8408, SelfUp,
12-21-2022-22-27-40.882,1, 0.3341597,0.045508,8408, SelfUp,
12-21-2022-22-27-40.982,1, 0.2336023,0.045508,8408, SelfUp,
12-21-2022-22-27-41.083,1, 0.1332699,0.045508,8408, SelfUp,
12-21-2022-22-27-41.083,1, 0.1915891,0.043782,25021, SelfDown,
12-21-2022-22-27-41.183,1, 0.16127,0.043271,26533, SelfDown,
12-21-2022-22-27-41.183,1, 0.2667595,0.041012,13249, SelfUp,
12-21-2022-22-27-41.284,1, 0.1665096,0.041012,13249, SelfUp,
12-21-2022-22-27-41.284,1, 0.1883763,0.040099,30409, SelfDown,
12-21-2022-22-27-41.485,1, 0.0835657,0.040052,15664, SelfUp,
12-21-2022-22-27-41.384,1, 0.184339,0.040052,15664, SelfUp,
12-21-2022-22-27-41.384,1, 0.2122898,0.039654,33261, SelfDown,
12-21-2022-22-27-41.485,1, 0.2256596,0.040507,34609, SelfDown,
12-21-2022-22-27-41.585,1, 0.1247232,0.040507,34609, SelfDown,
12-21-2022-22-27-41.686,1, 0.0538545,0.04173,18363, SelfUp,
12-21-2022-22-27-41.585,1, 0.1542631,0.04173,18363, SelfUp,
12-21-2022-22-27-41.686,1, 0.1545655,0.041666,36399, SelfDown,
12-21-2022-22-27-41.787,1, 0.0965687,0.042825,19876, SelfUp,
12-21-2022-22-27-41.787,1, 0.2238608,0.046726,36411, SelfDown,
12-21-2022-22-27-41.887,1, 0.1778034,0.046721,36925, SelfDown,
12-21-2022-22-27-41.987,1, 0.2166627,0.04675,39125, SelfDown,
12-21-2022-22-27-42.088,1, 0.2022864,0.042822,43660, SelfDown,
12-21-2022-22-27-42.188,1, 0.1852895,0.038176,48840, SelfDown,
12-21-2022-22-27-42.389,1, 0.2451416,0.036358,56461, SelfDown,
12-21-2022-22-27-42.288,1, 0.3644406,0.036358,56461, SelfDown,
12-21-2022-22-27-42.491,1, 0.2450762,0.036002,58541, SelfDown,
12-21-2022-22-27-42.591,1, 0.2255004,0.036807,60908, SelfDown,
12-21-2022-22-27-42.692,1, 0.1720749,0.038648,60910, SelfDown,
12-21-2022-22-27-42.792,1, 0.2655245,0.04009,29908, SelfDown,
12-21-2022-22-27-42.992,1, 0.1832403,0.039774,29913, SelfDown,
12-21-2022-22-27-41.987,1, 1.1949828,0.044614,4746, SelfUp,
12-21-2022-22-27-41.887,1, 1.2951175,0.044614,4746, SelfUp,
12-21-2022-22-27-42.892,1, 0.3774782,0.040733,20939, SelfDown,
12-21-2022-22-27-43.092,1, 0.2168834,0.040566,20940, SelfDown,
12-21-2022-22-27-43.193,1, 0.1892404,0.039699,20945, SelfDown,
12-21-2022-22-27-43.293,1, 0.2752489,0.039882,23430, SelfDown,
12-21-2022-22-27-43.394,1, 0.2284963,0.040439,24704, SelfDown,
12-21-2022-22-27-43.494,1, 0.2308659,0.039906,26878, SelfDown,
12-21-2022-22-27-42.088,1, 1.6707665999999999,0.04226,5889, SelfUp,
12-21-2022-22-27-42.188,1, 1.5707442,0.04226,5889, SelfUp,
12-21-2022-22-27-42.288,1, 1.4701895,0.04226,5889, SelfUp,
12-21-2022-22-27-42.491,1, 1.2676487,0.04226,5889, SelfUp,
12-21-2022-22-27-42.389,1, 1.3693315,0.04226,5889, SelfUp,
12-21-2022-22-27-42.591,1, 1.1676224,0.04226,5889, SelfUp,
12-21-2022-22-27-42.692,1, 1.066673,0.04226,5889, SelfUp,
12-21-2022-22-27-42.792,1, 0.9665369,0.04226,5889, SelfUp,
12-21-2022-22-27-42.992,1, 0.7659909,0.04226,5889, SelfUp,
12-21-2022-22-27-42.892,1, 0.8663146,0.04226,5889, SelfUp,
12-21-2022-22-27-43.092,1, 0.6659036,0.04226,5889, SelfUp,
12-21-2022-22-27-43.193,1, 0.5659076,0.04226,5889, SelfUp,
12-21-2022-22-27-43.293,1, 0.4655569,0.04226,5889, SelfUp,
12-21-2022-22-27-43.594,1, 0.2226282,0.038271,28895, SelfDown,
12-21-2022-22-27-43.694,1, 0.1955568,0.036606,31089, SelfDown,
12-21-2022-22-27-43.394,1, 0.6139274,0.037253,9803, SelfUp,
12-21-2022-22-27-43.494,1, 0.5135475,0.037253,9803, SelfUp,
12-21-2022-22-27-43.694,1, 0.3127061,0.037253,9803, SelfUp,
12-21-2022-22-27-43.594,1, 0.4132908,0.037253,9803, SelfUp,
12-21-2022-22-27-43.794,1, 0.2131416,0.037253,9803, SelfUp,
12-21-2022-22-27-43.895,1, 0.1124531,0.037253,9803, SelfUp,
12-21-2022-22-27-43.794,1, 0.2162071,0.036882,32580, SelfDown,
12-21-2022-22-27-43.895,1, 0.2536991,0.040048,34600, SelfDown,
12-21-2022-22-27-43.996,1, 0.2374366,0.040048,34600, SelfDown,
12-21-2022-22-27-44.096,1, 0.1569597,0.043365,13203, SelfUp,
12-21-2022-22-27-43.996,1, 0.2584623,0.043365,13203, SelfUp,
12-21-2022-22-27-44.298,1, 0.1261432,0.042916,16372, SelfUp,
12-21-2022-22-27-44.197,1, 0.2267173,0.042916,16372, SelfUp,
12-21-2022-22-27-44.398,1, 0.1180063,0.038345,19487, SelfUp,
12-21-2022-22-27-44.096,1, 0.4412618,0.040048,24220, SelfDown,
12-21-2022-22-27-44.197,1, 0.7015748,0.040825,14565, SelfDown,
12-21-2022-22-27-44.398,1, 0.5108403,0.041684,14566, SelfDown,
12-21-2022-22-27-44.298,1, 0.6112047,0.041684,14566, SelfDown,
12-21-2022-22-27-44.499,1, 0.4103819,0.041684,14566, SelfDown,
12-21-2022-22-27-44.599,1, 0.3103482,0.041684,14566, SelfDown,
12-21-2022-22-27-44.499,1, 0.4241194,0.038589,15490, SelfUp,
12-21-2022-22-27-44.699,1, 0.2238245,0.038589,15490, SelfUp,
12-21-2022-22-27-44.599,1, 0.3240857,0.038589,15490, SelfUp,
12-21-2022-22-27-44.800,1, 0.1225955,0.038589,15490, SelfUp,
12-21-2022-22-27-44.901,1, 0.1382747,0.039067,16499, SelfUp,
12-21-2022-22-27-44.699,1, 0.3597091,0.041164,14571, SelfDown,
12-21-2022-22-27-44.800,1, 0.2813542,0.041164,14571, SelfDown,
12-21-2022-22-27-45.003,1, 0.1442024,0.036772,19930, SelfUp,
12-21-2022-22-27-45.103,1, 0.0439525,0.036772,19930, SelfUp,
12-21-2022-22-27-44.901,1, 0.2729396,0.038397,14575, SelfDown,
12-21-2022-22-27-45.204,1, 0.0722079,0.033999,22238, SelfUp,
12-21-2022-22-27-45.003,1, 0.3137674,0.037159,14579, SelfDown,
12-21-2022-22-27-45.103,1, 0.2631176,0.038097,14582, SelfDown,
12-21-2022-22-27-45.304,1, 0.1222389,0.035177,25140, SelfUp,
12-21-2022-22-27-45.404,1, 0.053525,0.036719,26254, SelfUp,
12-21-2022-22-27-45.204,1, 0.2588346,0.035524,17036, SelfDown,
12-21-2022-22-27-45.304,1, 0.26433,0.034838,19555, SelfDown,
12-21-2022-22-27-45.505,1, 0.091511,0.036747,29062, SelfUp,
12-21-2022-22-27-45.404,1, 0.2544314,0.037448,20507, SelfDown,
12-21-2022-22-27-45.606,1, 0.0743077,0.042568,29152, SelfUp,
12-21-2022-22-27-45.707,1, 0.0442004,0.039949,30454, SelfUp,
12-21-2022-22-27-45.807,1, 0.0439281,0.039838,32614, SelfUp,
12-21-2022-22-27-45.505,1, 0.4031365,0.038056,14816, SelfDown,
12-21-2022-22-27-45.606,1, 0.3029969,0.038056,14816, SelfDown,
12-21-2022-22-27-45.707,1, 0.2281977,0.038056,14816, SelfDown,
12-21-2022-22-27-45.907,1, 0.1260961,0.039331,23993, SelfUp,
12-21-2022-22-27-45.807,1, 0.2483541,0.037721,14561, SelfDown,
12-21-2022-22-27-46.008,1, 0.0831609,0.035801,24617, SelfUp,
12-21-2022-22-27-46.008,1, 0.2512212,0.034327,16521, SelfDown,
12-21-2022-22-27-46.111,1, 0.1789243,0.034203,28582, SelfUp,
12-21-2022-22-27-46.212,1, 0.0785618,0.034203,28582, SelfUp,
12-21-2022-22-27-45.907,1, 0.4668041,0.036079,18108, SelfDown,
12-21-2022-22-27-46.111,1, 0.3057476,0.036079,18108, SelfDown,
12-21-2022-22-27-46.312,1, 0.107941,0.035664,30944, SelfUp,
12-21-2022-22-27-46.212,1, 0.2632347,0.036079,14560, SelfDown,
12-21-2022-22-27-46.413,1, 0.0893681,0.035664,21660, SelfUp,
12-21-2022-22-27-46.312,1, 0.3163448,0.037623,14564, SelfDown,
12-21-2022-22-27-46.514,1, 0.2332625,0.035482,15269, SelfDown,
12-21-2022-22-27-46.413,1, 0.3338354,0.035482,15269, SelfDown,
12-21-2022-22-27-46.614,1, 0.2723299,0.033112,18712, SelfDown,
12-21-2022-22-27-46.815,1, 0.24776,0.031474,23488, SelfDown,
12-21-2022-22-27-46.715,1, 0.5299204,0.031318,26279, SelfDown,
12-21-2022-22-27-46.915,1, 0.4409414,0.031258,30817, SelfDown,
12-21-2022-22-27-47.015,1, 0.3791216,0.032125,31063, SelfDown,
12-21-2022-22-27-47.119,1, 0.4024664,0.03247,32354, SelfDown,
12-21-2022-22-27-47.321,1, 0.5048884,0.031309,41373, SelfDown,
12-21-2022-22-27-47.421,1, 0.4046862,0.031309,41373, SelfDown,
12-21-2022-22-27-47.521,1, 0.3774424,0.031727,43605, SelfDown,
12-21-2022-22-27-47.220,1, 0.7467282,0.032312,44359, SelfDown,
12-21-2022-22-27-47.621,1, 0.3452767,0.032312,44359, SelfDown,
12-21-2022-22-27-47.722,1, 0.5270424,0.036382,46496, SelfDown,
12-21-2022-22-27-47.822,1, 0.4999787,0.035685,33515, SelfDown,
12-21-2022-22-27-48.023,1, 0.3694111,0.035394,33711, SelfDown,
12-21-2022-22-27-47.923,1, 0.4694757,0.035394,33711, SelfDown,
12-21-2022-22-27-48.123,1, 0.2685048,0.035394,33711, SelfDown,
12-21-2022-22-27-48.224,1, 0.1688008,0.035394,33711, SelfDown,
12-21-2022-22-27-48.324,1, 0.3046024,0.04345,34960, SelfDown,
12-21-2022-22-27-48.424,1, 0.2341376,0.044461,35138, SelfDown,
12-21-2022-22-27-48.524,1, 0.3552134,0.047269,41760, SelfDown,
12-21-2022-22-27-48.625,1, 0.3549457,0.042581,44648, SelfDown,
12-21-2022-22-27-48.725,1, 0.3056339,0.042198,45393, SelfDown,
12-21-2022-22-27-48.825,1, 0.2055411,0.042198,45393, SelfDown,
12-21-2022-22-27-48.927,1, 0.2736831,0.044098,47746, SelfDown,
12-21-2022-22-27-49.027,1, 0.2982368,0.045388,48753, SelfDown,
12-21-2022-22-27-49.127,1, 0.2315726,0.044271,50445, SelfDown,
12-21-2022-22-27-49.228,1, 0.3252094,0.04129,54758, SelfDown,
12-21-2022-22-27-49.330,1, 0.2526813,0.040552,55989, SelfDown,
12-21-2022-22-27-49.432,1, 0.1614256,0.040552,55989, SelfDown,
12-21-2022-22-27-49.532,1, 0.3023773,0.04054,59872, SelfDown,
12-21-2022-22-27-49.734,1, 0.3498293,0.045056,61774, SelfDown,
12-21-2022-22-27-49.835,1, 0.3057871,0.044622,63109, SelfDown,
12-21-2022-22-27-49.633,1, 0.586152,0.044361,63955, SelfDown,
12-21-2022-22-27-50.035,1, 0.2871634,0.044336,65665, SelfDown,
12-21-2022-22-27-50.236,1, 0.3402264,0.04375,71457, SelfDown,
12-21-2022-22-27-49.935,1, 0.6946888,0.044076,71649, SelfDown,
12-21-2022-22-27-50.136,1, 0.4937503,0.044076,71649, SelfDown,
12-21-2022-22-27-46.514,1, 4.117555,0.045617,10020, SelfUp,
12-21-2022-22-27-46.715,1, 3.9165765,0.045617,10020, SelfUp,
12-21-2022-22-27-46.614,1, 4.0172943,0.045617,10020, SelfUp,
12-21-2022-22-27-46.815,1, 3.8163849,0.045617,10020, SelfUp,
